problem,function,instance,dimension,seed,mode,popsize,baseline_best,pass_proposal_f,first_f,best_h1,best_h10,best_h50,best_h400,mean_shift_generation,sigma_ratio_generation,trace_ratio_generation,condition_ratio_generation,sigma_ratio_final,trace_ratio_final
bbob_f004_i80_d20,4,80,20,1,inject,12,283.0768287049052,,355.02742726839415,283.0768287049052,283.0768287049052,283.0768287049052,206.4342205467436,1.601680421909145,0.960076206780851,0.9945481735485285,1.021081395777583,0.49125968616611465,0.9505762937611876
bbob_f004_i80_d20,4,80,20,2,pass,12,267.6669749607512,329.9559368037292,329.9559368037292,267.6669749607512,267.6669749607512,267.6669749607512,216.33399618799518,1.5043777720049802,0.9728874609264774,0.9966049210899984,0.9971462379673839,0.49906656994681015,0.9372141069467972
bbob_f004_i80_d20,4,80,20,2,direct,12,267.6669749607512,,308.43960013276296,267.6669749607512,267.6669749607512,267.6669749607512,185.80628151275795,1.3490018464298652,0.9636919516673979,0.9946620356130298,0.9966281797871077,0.37179194244849295,0.9246703371422001
bbob_f004_i80_d20,4,80,20,2,inject,12,267.6669749607512,,308.43960013276296,267.6669749607512,267.6669749607512,260.5082170223798,213.79239421057719,1.5085859176646559,0.9654151819744896,0.9953451903701774,0.9984152019247042,0.41379604235936795,0.9226886840494842
bbob_f004_i80_d20,4,80,20,3,pass,12,284.2629769158922,379.8536242505478,379.8536242505478,284.2629769158922,284.2629769158922,284.2629769158922,217.73643994654006,1.4723745695400507,0.9677649575506535,0.9958580908563651,0.995604720026169,0.5310846265074306,0.9426837027528158
bbob_f004_i80_d20,4,80,20,3,direct,12,284.2629769158922,,444.9735409721203,284.2629769158922,284.2629769158922,284.2629769158922,218.8114122954044,1.4982397630786373,0.9556920318235776,0.9952774323044428,0.9937557905220884,0.36154902515522697,0.928899392820005
bbob_f004_i80_d20,4,80,20,3,inject,12,284.2629769158922,,444.9735409721203,284.2629769158922,284.2629769158922,283.4250305822659,228.50678761763922,1.4723745695400507,0.9677649575506535,0.9958551240326405,0.9960259020957831,0.4414283561363996,0.9212155244894337
bbob_f005_i79_d20,5,79,20,0,pass,12,39.27750385203167,77.93162612935745,77.93162612935745,39.27750385203167,39.27750385203167,39.174596245146915,9.133042261516138,1.3820451088465506,0.9169515687617166,0.993924229979915,1.0476194296048036,0.4116687736473959,0.9106549442632939
bbob_f005_i79_d20,5,79,20,0,direct,12,39.27750385203167,,66.88766766872999,39.27750385203167,39.27750385203167,32.85298746991447,8.827102640525936,1.3820451088465506,0.9169515687617166,0.9939779578336456,1.0473087676271913,0.3391518155300291,0.9241201296344256
bbob_f005_i79_d20,5,79,20,0,inject,12,39.27750385203167,,66.88766766872999,39.27750385203167,39.27750385203167,39.27750385203167,1.0633141286531185,1.3820451088465506,0.9169515687617166,0.9930882879122539,1.0211779553045957,0.31466169293183227,0.8859524073426424
bbob_f005_i79_d20,5,79,20,1,pass,12,41.40803910678106,46.17098393899309,46.17098393899309,41.40803910678106,41.40803910678106,19.207212598297104,-6.62489474637459,1.5092822337957434,0.9557732349182698,0.9954798348302301,1.0174367879525579,0.42901056257562475,0.9218641099339694
